undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,cname
0.41800001,ERI,SubSaharian,1007.28,,,0.62,,3.338293075561523,Eritrea
0.47299999,MWI,SubSaharian,938.34998,17.60400009155273,46.0,1.23,16.299999,11.37795639038086,Malawi
0.63700002,GTM,LatAm,4438.0,,26.5,1.88,,6.202301502227783,Guatemala
0.741,JOR,NorthAfrica,5188.9199,6.675000190734863,16.39999961853027,0.41,38.400002,7.452995777130127,Jordan
0.72399998,DMA,Caribbean,12613.72,,,5.46,,5.485832691192627,Dominica
0.80400002,MNE,EastEurope,14538.52,0.621999979019165,5.5,6.5599999,,6.416542530059815,Montenegro
0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.700000047683716,11.12,24.4,6.937873363494873,Luxembourg
,MCO,WesternDem,108481.13,,,,,4.337683200836182,Monaco
0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451,Cote d'Ivoire
0.898,ISR,NorthAfrica,25926.25,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236,Israel
0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736328,Croatia
0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.400000095367432,8.8000002,21.799999,9.679908752441406,Finland
0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957,Swaziland
0.48800001,UGA,SubSaharian,1343.45,37.59999847412109,45.40000152587891,10.22,10.3,7.222136974334717,Uganda
0.75099999,GRD,Caribbean,8314.5596,,,8.4200001,,6.09761381149292,Grenada
0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265137,9.0900002,42.099998,10.36881160736084,Serbia
0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,13.0,3.03,21.9,4.809544563293457,Mauritius
0.86500001,GRC,WesternDem,25295.27,10.92700004577637,4.099999904632568,7.5300002,43.400002,8.084266662597656,Greece
0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193,Kiribati
,TUV,Pacific,3174.05,0.0109999999403954,,1.34,,16.5366382598877,Tuvalu
0.72399998,COL,LatAm,8761.1396,47.6619987487793,15.10000038146973,4.3800001,11.6,7.201298713684082,Colombia
0.76899999,VEN,LatAm,10513.96,,13.10000038146973,6.4699998,,5.256702423095703,Venezuela
0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225,Singapore
0.75800002,MEX,LatAm,13609.42,119.7129974365234,13.89999961853027,5.2600002,14.5,6.296421051025391,Mexico
0.79900002,KWT,NorthAfrica,64342.711,3.999000072479248,9.5,0.02,,3.042368412017822,Kuwait
0.92000002,IRL,WesternDem,46422.07,4.620999813079834,3.400000095367432,10.75,23.200001,7.783196449279785,Ireland
0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,33.29999923706055,7.3800001,18.9,8.796984672546387,South Africa
0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498,Tanzania
0.42500001,COD,SubSaharian,324.16,,74.5,1.8200001,,4.32823371887207,"Congo, Democratic Republic"
0.347,CAF,SubSaharian,690.03998,,,1.66,,4.200222015380859,Central African Republic
0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358,Oman
0.92299998,DNK,WesternDem,37406.762,5.626999855041504,3.0,9.6400003,18.9,10.80495738983154,Denmark
0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.09999847412109,0.69999999,20.0,2.275754690170288,Myanmar
0.58200002,GNQ,SubSaharian,15412.43,,,10.72,,3.804079055786133,Equatorial Guinea
0.51099998,MDG,SubSaharian,822.62,,40.90000152587891,0.87,,3.041355133056641,Madagascar
0.671,BOL,LatAm,4023.8701,10.07800006866455,32.79999923706055,3.6199999,,6.334827423095703,Bolivia
0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,0.95999998,30.200001,5.176770687103272,Tonga
0.73900002,ECU,LatAm,7259.52,15.77499961853027,19.10000038146973,3.8199999,9.0,9.161087989807127,Ecuador
0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,16.89999961853027,8.8199997,7.0,7.469303131103516,Barbados
0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.200000047683716,7.5599999,24.200001,9.247918128967283,Italy
0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.39999961853027,3.8299999,17.6,5.36152458190918,Jamaica
0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107,Turkmenistan
0.514,CMR,SubSaharian,2658.51,,61.09999847412109,6.1900001,18.799999,4.103671550750732,Cameroon
0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434,Andorra
0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875,Brunei
0.80500001,RUS,EastEurope,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799,Russia
0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668,Macedonia
